,layout,page,text,x0,x1,y0,y1,inv_page
30,"<LTTextLineHorizontal 39.720,475.611,139.793,486.704 'gi|1002676|gb|AAC46898.1\n'>",1,"gi|1002676|gb|AAC46898.1
",39.72,139.7934625800001,475.6112193,486.70434750000004,54
37,"<LTTextLineHorizontal 712.261,462.575,716.763,474.406 '3\n'>",1,"3
",712.2612952,716.7632951999999,462.575136,474.406392,54
121,"<LTTextLineHorizontal 39.720,451.611,139.793,462.704 'gi|1041907|gb|AAB34869.1\n'>",1,"gi|1041907|gb|AAB34869.1
",39.72,139.7934625800001,451.6112193,462.70434750000004,54
39,"<LTTextLineHorizontal 712.261,438.515,716.763,450.346 '9\n'>",1,"9
",712.2611079999999,716.7631079999999,438.51513600000004,450.34639200000004,54
133,"<LTTextLineHorizontal 39.720,427.611,139.793,438.704 'gi|1041909|gb|AAB34871.1\n'>",1,"gi|1041909|gb|AAB34871.1
",39.72,139.7934625800001,427.6112193,438.70434750000004,54
41,"<LTTextLineHorizontal 712.261,414.515,716.763,426.346 '5\n'>",1,"5
",712.2612952,716.7632951999999,414.51513600000004,426.34639200000004,54
145,"<LTTextLineHorizontal 39.720,403.611,139.793,414.704 'gi|1041910|gb|AAB34872.1\n'>",1,"gi|1041910|gb|AAB34872.1
",39.72,139.7934625800001,403.6112193,414.70434750000004,54
43,"<LTTextLineHorizontal 712.261,390.515,716.763,402.346 '3\n'>",1,"3
",712.2612952,716.7632951999999,390.51513600000004,402.34639200000004,54
155,"<LTTextLineHorizontal 39.720,379.551,139.793,390.644 'gi|1041913|gb|AAB34875.1\n'>",1,"gi|1041913|gb|AAB34875.1
",39.72,139.7934625800001,379.5512193,390.6443475,54
45,"<LTTextLineHorizontal 712.261,366.515,716.763,378.346 '2\n'>",1,"2
",712.2612952,716.7632951999999,366.51513600000004,378.34639200000004,54
167,"<LTTextLineHorizontal 39.720,355.551,139.793,366.644 'gi|1041914|gb|AAB34876.1\n'>",1,"gi|1041914|gb|AAB34876.1
",39.72,139.7934625800001,355.5512193,366.6443475,54
47,"<LTTextLineHorizontal 712.261,342.515,716.763,354.346 '2\n'>",1,"2
",712.2612952,716.7632951999999,342.515136,354.346392,54
179,"<LTTextLineHorizontal 39.720,331.551,139.793,342.644 'gi|1042217|gb|AAB34738.1\n'>",1,"gi|1042217|gb|AAB34738.1
",39.72,139.7934625800001,331.5512193,342.6443475,54
49,"<LTTextLineHorizontal 712.261,318.455,716.763,330.286 '1\n'>",1,"1
",712.2612952,716.7632951999999,318.455136,330.286392,54
189,"<LTTextLineHorizontal 39.720,307.551,120.166,318.644 'gi|105119|pir||A36317\n'>",1,"gi|105119|pir||A36317
",39.72,120.16598907,307.5512193,318.6443475,54
51,"<LTTextLineHorizontal 712.261,294.455,716.763,306.286 '2\n'>",1,"2
",712.2612952,716.7632951999999,294.455136,306.286392,54
199,"<LTTextLineHorizontal 39.720,283.551,119.988,294.644 'gi|105161|pir||S20313\n'>",1,"gi|105161|pir||S20313
",39.72,119.98750656000001,283.5512193,294.6443475,54
53,"<LTTextLineHorizontal 712.261,270.455,716.763,282.286 '1\n'>",1,"1
",712.2612952,716.7632951999999,270.455136,282.286392,54
203,"<LTTextLineHorizontal 39.720,259.551,119.988,270.644 'gi|105274|pir||S17564\n'>",1,"gi|105274|pir||S17564
",39.72,119.98750656000001,259.5512193,270.6443475,54
56,"<LTTextLineHorizontal 710.041,246.455,719.043,258.286 '16\n'>",1,"16
",710.0409088,719.0431079999998,246.45513599999998,258.286392,54
57,"<LTTextLineHorizontal 710.041,234.455,719.043,246.286 '16\n'>",1,"16
",710.0409088,719.0431079999998,234.45513599999998,246.28639199999998,54
58,"<LTTextLineHorizontal 710.041,222.455,719.043,234.286 '16\n'>",1,"16
",710.0409088,719.0431079999998,222.45513599999998,234.28639199999998,54
59,"<LTTextLineHorizontal 710.041,210.455,719.043,222.286 '16\n'>",1,"16
",710.0409088,719.0431079999998,210.45513599999998,222.28639199999998,54
60,"<LTTextLineHorizontal 710.041,198.395,719.043,210.226 '16\n'>",1,"16
",710.0409088,719.0431079999998,198.39513599999998,210.22639199999998,54
240,"<LTTextLineHorizontal 39.720,187.491,120.166,198.584 'gi|105741|pir||A34372\n'>",1,"gi|105741|pir||A34372
",39.72,120.16598907,187.4912193,198.5843475,54
62,"<LTTextLineHorizontal 710.041,174.395,719.043,186.226 '11\n'>",1,"11
",710.0409088,719.0431079999998,174.39513599999998,186.22639199999998,54
63,"<LTTextLineHorizontal 710.041,162.395,719.043,174.226 '11\n'>",1,"11
",710.0409088,719.0431079999998,162.39513599999998,174.22639199999998,54
64,"<LTTextLineHorizontal 710.041,150.395,719.043,162.226 '11\n'>",1,"11
",710.0409088,719.0431079999998,150.39513599999998,162.22639199999998,54
65,"<LTTextLineHorizontal 710.041,138.395,719.043,150.226 '11\n'>",1,"11
",710.0409088,719.0431079999998,138.39513599999998,150.22639199999998,54
66,"<LTTextLineHorizontal 710.041,126.395,719.043,138.226 '11\n'>",1,"11
",710.0409088,719.0431079999998,126.39513599999998,138.22639199999998,54
67,"<LTTextLineHorizontal 710.041,114.395,719.043,126.226 '11\n'>",1,"11
",710.0409088,719.0431079999998,114.39523600000001,126.22649200000001,54
68,"<LTTextLineHorizontal 710.041,102.395,719.043,114.226 '11\n'>",1,"11
",710.0409088,719.0431079999998,102.39523600000001,114.22649200000001,54
279,"<LTTextLineHorizontal 39.720,91.431,119.988,102.524 'gi|105744|pir||S10479\n'>",1,"gi|105744|pir||S10479
",39.72,119.98750656000001,91.43131929999998,102.52444749999998,54
70,"<LTTextLineHorizontal 712.261,78.395,716.763,90.226 '5\n'>",1,"5
",712.2612952,716.7632951999999,78.39513600000004,90.22639200000003,54
71,"<LTTextLineHorizontal 712.261,66.335,716.763,78.166 '5\n'>",1,"5
",712.2612952,716.7632951999999,66.33513599999998,78.16639199999997,54
293,"<LTTextLineHorizontal 39.720,55.431,120.166,66.524 'gi|105746|pir||A40455\n'>",1,"gi|105746|pir||A40455
",39.72,120.16598907,55.43131929999998,66.52444749999998,54
72,"<LTTextLineHorizontal 712.261,42.335,716.763,54.166 '3\n'>",1,"3
",712.2612952,716.7632951999999,42.33513599999997,54.16639199999997,54
303,"<LTTextLineHorizontal 39.720,31.431,120.166,42.524 'gi|105863|pir||A40448\n'>",1,"gi|105863|pir||A40448
",39.72,120.16598907,31.43131929999998,42.52444749999998,54
74,"<LTTextLineHorizontal 712.261,18.335,716.763,30.166 '1\n'>",1,"1
",712.2612952,716.7632951999999,18.335135999999974,30.166391999999973,54
396,"<LTTextLineHorizontal 39.720,556.671,120.166,567.764 'gi|105902|pir||A40492\n'>",2,"gi|105902|pir||A40492
",39.72,120.16598907,556.6712193,567.7643475,53
690,"<LTTextLineHorizontal 712.261,543.575,716.763,555.406 '1\n'>",2,"1
",712.2612952,716.7632951999999,543.5751359999999,555.406392,53
455,"<LTTextLineHorizontal 39.720,532.671,120.351,543.764 'gi|106025|pir||C32891\n'>",2,"gi|106025|pir||C32891
",39.72,120.35087454,532.6712193,543.7643475,53
692,"<LTTextLineHorizontal 712.261,519.575,716.763,531.406 '1\n'>",2,"1
",712.2612952,716.7632951999999,519.5751359999999,531.406392,53
469,"<LTTextLineHorizontal 39.720,508.611,119.988,519.704 'gi|106329|pir||S13279\n'>",2,"gi|106329|pir||S13279
",39.72,119.98750656000001,508.6112193,519.7043475,53
694,"<LTTextLineHorizontal 710.042,495.575,719.044,507.406 '12\n'>",2,"12
",710.041622,719.0438211999999,495.575136,507.406392,53
475,"<LTTextLineHorizontal 39.720,484.611,119.988,495.704 'gi|106368|pir||S17597\n'>",2,"gi|106368|pir||S17597
",39.72,119.98750656000001,484.6112193,495.70434750000004,53
697,"<LTTextLineHorizontal 712.261,471.575,716.763,483.406 '6\n'>",2,"6
",712.2612952,716.7632951999999,471.575136,483.406392,53
698,"<LTTextLineHorizontal 712.261,459.575,716.763,471.406 '6\n'>",2,"6
",712.2612952,716.7632951999999,459.575136,471.406392,53
699,"<LTTextLineHorizontal 712.261,447.515,716.763,459.346 '6\n'>",2,"6
",712.2612952,716.7632951999999,447.51513600000004,459.34639200000004,53
483,"<LTTextLineHorizontal 39.720,436.611,120.351,447.704 'gi|106371|pir||B23746\n'>",2,"gi|106371|pir||B23746
",39.72,120.35087454,436.6112193,447.70434750000004,53
701,"<LTTextLineHorizontal 712.261,423.515,716.763,435.346 '7\n'>",2,"7
",712.2612952,716.7632951999999,423.51513600000004,435.34639200000004,53
702,"<LTTextLineHorizontal 712.261,411.515,716.763,423.346 '7\n'>",2,"7
",712.2612952,716.7632951999999,411.51513600000004,423.34639200000004,53
511,"<LTTextLineHorizontal 39.720,400.611,119.988,411.704 'gi|106378|pir||S15590\n'>",2,"gi|106378|pir||S15590
",39.72,119.98750656000001,400.6112193,411.70434750000004,53
704,"<LTTextLineHorizontal 710.041,387.515,719.043,399.346 '31\n'>",2,"31
",710.0409088,719.0431079999998,387.51513600000004,399.34639200000004,53
705,"<LTTextLineHorizontal 710.041,375.515,719.043,387.346 '31\n'>",2,"31
",710.0409088,719.0431079999998,375.51513600000004,387.34639200000004,53
706,"<LTTextLineHorizontal 710.041,363.515,719.043,375.346 '31\n'>",2,"31
",710.0409088,719.0431079999998,363.51513600000004,375.34639200000004,53
707,"<LTTextLineHorizontal 710.041,351.515,719.043,363.346 '31\n'>",2,"31
",710.0409088,719.0431079999998,351.515136,363.346392,53
708,"<LTTextLineHorizontal 710.041,339.515,719.043,351.346 '31\n'>",2,"31
",710.0409088,719.0431079999998,339.515136,351.346392,53
709,"<LTTextLineHorizontal 710.041,327.455,719.043,339.286 '31\n'>",2,"31
",710.0409088,719.0431079999998,327.455136,339.286392,53
710,"<LTTextLineHorizontal 710.042,315.455,719.044,327.286 '31\n'>",2,"31
",710.041622,719.0438211999999,315.455136,327.286392,53
711,"<LTTextLineHorizontal 710.041,303.455,719.043,315.286 '31\n'>",2,"31
",710.0409088,719.0431079999998,303.455136,315.286392,53
712,"<LTTextLineHorizontal 710.041,291.455,719.043,303.286 '31\n'>",2,"31
",710.0409088,719.0431079999998,291.455136,303.286392,53
550,"<LTTextLineHorizontal 39.720,280.551,119.988,291.644 'gi|106386|pir||S21680\n'>",2,"gi|106386|pir||S21680
",39.72,119.98750656000001,280.5512193,291.6443475,53
714,"<LTTextLineHorizontal 712.261,267.455,716.763,279.286 '3\n'>",2,"3
",712.2612952,716.7632951999999,267.455136,279.286392,53
715,"<LTTextLineHorizontal 712.261,255.455,716.763,267.286 '3\n'>",2,"3
",712.2612952,716.7632951999999,255.45513599999998,267.286392,53
716,"<LTTextLineHorizontal 712.261,243.455,716.763,255.286 '3\n'>",2,"3
",712.2612952,716.7632951999999,243.45513599999998,255.28639199999998,53
552,"<LTTextLineHorizontal 39.720,232.491,120.166,243.584 'gi|106390|pir||A30561\n'>",2,"gi|106390|pir||A30561
",39.72,120.16598907,232.4912193,243.5843475,53
717,"<LTTextLineHorizontal 712.261,219.455,716.763,231.286 '3\n'>",2,"3
",712.2612952,716.7632951999999,219.45513599999998,231.28639199999998,53
558,"<LTTextLineHorizontal 39.720,208.491,119.988,219.584 'gi|106393|pir||E41287\n'>",2,"gi|106393|pir||E41287
",39.72,119.98750656000001,208.4912193,219.5843475,53
719,"<LTTextLineHorizontal 712.261,195.395,716.763,207.226 '6\n'>",2,"6
",712.2612952,716.7632951999999,195.39513599999998,207.22639199999998,53
564,"<LTTextLineHorizontal 39.720,184.491,119.988,195.584 'gi|106395|pir||S12580\n'>",2,"gi|106395|pir||S12580
",39.72,119.98750656000001,184.4912193,195.5843475,53
721,"<LTTextLineHorizontal 712.261,171.395,716.763,183.226 '2\n'>",2,"2
",712.2612952,716.7632951999999,171.39513599999998,183.22639199999998,53
570,"<LTTextLineHorizontal 39.720,160.491,119.454,171.584 'gi|106419|pir||F36005\n'>",2,"gi|106419|pir||F36005
",39.72,119.45365976999999,160.4912193,171.5843475,53
723,"<LTTextLineHorizontal 712.261,147.395,716.763,159.226 '1\n'>",2,"1
",712.2612952,716.7632951999999,147.39513599999998,159.22639199999998,53
580,"<LTTextLineHorizontal 39.720,136.491,119.988,147.584 'gi|106444|pir||S21980\n'>",2,"gi|106444|pir||S21980
",39.72,119.98750656000001,136.4912193,147.5843475,53
726,"<LTTextLineHorizontal 712.261,123.395,716.763,135.226 '4\n'>",2,"4
",712.2612952,716.7632951999999,123.39513599999998,135.22639199999998,53
727,"<LTTextLineHorizontal 712.261,111.395,716.763,123.226 '4\n'>",2,"4
",712.2612952,716.7632951999999,111.39523600000001,123.22649200000001,53
604,"<LTTextLineHorizontal 39.720,100.431,119.988,111.524 'gi|106446|pir||S16847\n'>",2,"gi|106446|pir||S16847
",39.72,119.98750656000001,100.43131929999998,111.52444749999998,53
728,"<LTTextLineHorizontal 712.261,87.395,716.763,99.226 '1\n'>",2,"1
",712.2612952,716.7632951999999,87.39523600000001,99.22649200000001,53
608,"<LTTextLineHorizontal 39.720,76.431,119.988,87.524 'gi|106449|pir||S20785\n'>",2,"gi|106449|pir||S20785
",39.72,119.98750656000001,76.43131929999998,87.52444749999998,53
